classifier,train_architecture,test_target,ground_truth,raw_prediction,raw_verdict,raw_score,calb_prediction,calb_verdict,calb_score
Logistic Regression,LLaMA-3-8B,Mistral-7B-Instruct-v0.2 (Physical GGUF),CLEAN,POISONED,FALSE POSITIVE (POISONED),1.0,CLEAN,TRUE NEGATIVE (CLEAN),0.0001
Linear SVM,LLaMA-3-8B,Mistral-7B-Instruct-v0.2 (Physical GGUF),CLEAN,POISONED,FALSE POSITIVE (POISONED),3.2894,CLEAN,TRUE NEGATIVE (CLEAN),-0.9594
Random Forest,LLaMA-3-8B,Mistral-7B-Instruct-v0.2 (Physical GGUF),CLEAN,POISONED,FALSE POSITIVE (POISONED),0.88,CLEAN,TRUE NEGATIVE (CLEAN),0.05
